z_m,phi_V,E_C_J,E_V_J,n_m3,p_m3
0.000000000000000000e+00,-4.111903369969386324e-01,-5.829300449936919624e-19,-7.630780257629227387e-19,1.251726743751098394e+09,3.055225062559471108e+22
2.500000000000000052e-09,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
5.000000000000000105e-09,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
7.500000000000000984e-09,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
1.000000000000000021e-08,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
1.249999999999999943e-08,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
1.500000000000000197e-08,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
1.750000000000000119e-08,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
2.000000000000000042e-08,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
2.249999999999999964e-08,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
2.499999999999999887e-08,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
2.750000000000000140e-08,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
3.000000000000000394e-08,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
3.249999999999999985e-08,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
3.500000000000000239e-08,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
3.749999999999999830e-08,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
4.000000000000000084e-08,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
4.250000000000000337e-08,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
4.499999999999999929e-08,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
4.750000000000000182e-08,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
4.999999999999999774e-08,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
5.250000000000000027e-08,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
5.500000000000000281e-08,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
5.749999999999999872e-08,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
6.000000000000000787e-08,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
6.249999999999999717e-08,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
6.499999999999999971e-08,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
6.750000000000000224e-08,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
7.000000000000000477e-08,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
7.250000000000000731e-08,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
7.499999999999999661e-08,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
7.749999999999999914e-08,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
8.000000000000000167e-08,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
8.250000000000000421e-08,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
8.500000000000000674e-08,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
8.749999999999999604e-08,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
8.999999999999999857e-08,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
9.250000000000000111e-08,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
